Tipo de Delito: Nivel 1,Tipo de Delito: Nivel 2,Tipo de Delito: Nivel 3,Tipo de Delito: Nivel 4,Nacionalidad,Periodo,Total
A Delitos,,,,País de la UE27_2020 sin España,2013,
A Delitos,,,,País de Europa menos UE28,2023,
A Delitos,,,,País de Europa menos UE28,2022,
A Delitos,,,,País de Europa menos UE28,2021,
A Delitos,,,,País de Europa menos UE28,2020,
A Delitos,,,,País de Europa menos UE28,2019,7.665
A Delitos,,,,País de Europa menos UE28,2018,5.922
A Delitos,,,,País de Europa menos UE28,2017,4.984
A Delitos,,,,País de Europa menos UE28,2016,4.289
A Delitos,,,,País de Europa menos UE28,2015,3.01
A Delitos,,,,País de Europa menos UE28,2014,2.466
A Delitos,,,,País de Europa menos UE28,2013,2.126
A Delitos,,,,País de Europa menos UE27_2020,2023,8.342
A Delitos,,,,País de Europa menos UE27_2020,2022,8.183
A Delitos,,,,País de Europa menos UE27_2020,2021,7.777
A Delitos,,,,País de Europa menos UE27_2020,2020,6.641
A Delitos,,,,País de Europa menos UE27_2020,2019,
A Delitos,,,,País de Europa menos UE27_2020,2018,
A Delitos,,,,País de Europa menos UE27_2020,2017,
A Delitos,,,,País de Europa menos UE27_2020,2016,
A Delitos,,,,País de Europa menos UE27_2020,2015,
A Delitos,,,,País de Europa menos UE27_2020,2014,
A Delitos,,,,País de Europa menos UE27_2020,2013,
A Delitos,,,,De Africa,2023,37.316
A Delitos,,,,De Africa,2022,36.289
A Delitos,,,,De Africa,2021,32.696
A Delitos,,,,De Africa,2020,24.009
A Delitos,,,,De Africa,2019,30.198
A Delitos,,,,De Africa,2018,27.649
A Delitos,,,,De Africa,2017,25.859
A Delitos,,,,De Africa,2016,23.575
A Delitos,,,,De Africa,2015,18.277
A Delitos,,,,De Africa,2014,17.534
A Delitos,,,,De Africa,2013,18.152
A Delitos,,,,De América,2023,39.244
A Delitos,,,,De América,2022,36.937
A Delitos,,,,De América,2021,33.539
A Delitos,,,,De América,2020,25.316
A Delitos,,,,De América,2019,30.448
A Delitos,,,,De América,2018,27.879
A Delitos,,,,De América,2017,26.009
A Delitos,,,,De América,2016,24.839
A Delitos,,,,De América,2015,21.446
A Delitos,,,,De América,2014,21.997
A Delitos,,,,De América,2013,23.984
A Delitos,,,,De Asia,2023,3.201
A Delitos,,,,De Asia,2022,3.444
A Delitos,,,,De Asia,2021,3.237
A Delitos,,,,De Asia,2020,2.477
A Delitos,,,,De Asia,2019,3.583
A Delitos,,,,De Asia,2018,3.409
A Delitos,,,,De Asia,2017,3.228
A Delitos,,,,De Asia,2016,2.879
A Delitos,,,,De Asia,2015,2.207
A Delitos,,,,De Asia,2014,2.173
A Delitos,,,,De Asia,2013,2.153
A Delitos,,,,De Oceanía,2023,27.0
A Delitos,,,,De Oceanía,2022,20.0
A Delitos,,,,De Oceanía,2021,14.0
A Delitos,,,,De Oceanía,2020,17.0
A Delitos,,,,De Oceanía,2019,41.0
A Delitos,,,,De Oceanía,2018,27.0
A Delitos,,,,De Oceanía,2017,34.0
A Delitos,,,,De Oceanía,2016,51.0
A Delitos,,,,De Oceanía,2015,23.0
A Delitos,,,,De Oceanía,2014,22.0
A Delitos,,,,De Oceanía,2013,312.0
A Delitos,1 Homicidio y sus formas,,,Total,2023,1.046
A Delitos,1 Homicidio y sus formas,,,Total,2022,1.088
A Delitos,1 Homicidio y sus formas,,,Total,2021,1.145
A Delitos,1 Homicidio y sus formas,,,Total,2020,1.036
A Delitos,1 Homicidio y sus formas,,,Total,2019,1.099
A Delitos,1 Homicidio y sus formas,,,Total,2018,1.087
A Delitos,1 Homicidio y sus formas,,,Total,2017,1.158
A Delitos,1 Homicidio y sus formas,,,Total,2016,1.252
A Delitos,1 Homicidio y sus formas,,,Total,2015,1.355
A Delitos,1 Homicidio y sus formas,,,Total,2014,1.295
A Delitos,1 Homicidio y sus formas,,,Total,2013,1.427
A Delitos,1 Homicidio y sus formas,,,Española,2023,739.0
A Delitos,1 Homicidio y sus formas,,,Española,2022,800.0
A Delitos,1 Homicidio y sus formas,,,Española,2021,876.0
A Delitos,1 Homicidio y sus formas,,,Española,2020,786.0
A Delitos,1 Homicidio y sus formas,,,Española,2019,847.0
A Delitos,1 Homicidio y sus formas,,,Española,2018,837.0
A Delitos,1 Homicidio y sus formas,,,Española,2017,925.0
A Delitos,1 Homicidio y sus formas,,,Española,2016,1.028
A Delitos,1 Homicidio y sus formas,,,Española,2015,1.071
A Delitos,1 Homicidio y sus formas,,,Española,2014,1.013
A Delitos,1 Homicidio y sus formas,,,Española,2013,1.096
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2023,
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2022,
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2021,
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2020,
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2019,97.0
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2018,87.0
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2017,98.0
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2016,80.0
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2015,108.0
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2014,95.0
A Delitos,1 Homicidio y sus formas,,,País de la UE28 sin España,2013,101.0
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2023,65.0
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2022,68.0
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2021,63.0
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2020,64.0
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2019,
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2018,
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2017,
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2016,
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2015,
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2014,
A Delitos,1 Homicidio y sus formas,,,País de la UE27_2020 sin España,2013,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2023,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2022,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2021,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2020,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2019,15.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2018,15.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2017,10.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2016,9.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2015,11.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2014,9.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE28,2013,12.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2023,18.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2022,12.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2021,12.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2020,31.0
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2019,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2018,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2017,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2016,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2015,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2014,
A Delitos,1 Homicidio y sus formas,,,País de Europa menos UE27_2020,2013,
A Delitos,1 Homicidio y sus formas,,,De Africa,2023,133.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2022,126.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2021,95.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2020,69.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2019,50.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2018,61.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2017,37.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2016,52.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2015,60.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2014,64.0
A Delitos,1 Homicidio y sus formas,,,De Africa,2013,90.0
A Delitos,1 Homicidio y sus formas,,,De América,2023,82.0
A Delitos,1 Homicidio y sus formas,,,De América,2022,76.0
A Delitos,1 Homicidio y sus formas,,,De América,2021,83.0
A Delitos,1 Homicidio y sus formas,,,De América,2020,77.0
A Delitos,1 Homicidio y sus formas,,,De América,2019,80.0
A Delitos,1 Homicidio y sus formas,,,De América,2018,79.0
A Delitos,1 Homicidio y sus formas,,,De América,2017,71.0
A Delitos,1 Homicidio y sus formas,,,De América,2016,69.0
A Delitos,1 Homicidio y sus formas,,,De América,2015,91.0
A Delitos,1 Homicidio y sus formas,,,De América,2014,98.0
A Delitos,1 Homicidio y sus formas,,,De América,2013,113.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2023,9.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2022,6.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2021,16.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2020,9.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2019,10.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2018,8.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2017,17.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2016,12.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2015,14.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2014,15.0
A Delitos,1 Homicidio y sus formas,,,De Asia,2013,14.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2023,0.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2022,0.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2021,0.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2020,0.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2019,0.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2018,0.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2017,0.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2016,2.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2015,0.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2014,1.0
A Delitos,1 Homicidio y sus formas,,,De Oceanía,2013,1.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2023,313.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2022,362.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2021,401.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2020,352.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2019,340.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2018,329.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2017,364.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2016,430.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2015,463.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2014,492.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Total,2013,513.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2023,192.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2022,247.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2021,288.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2020,225.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2019,225.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2018,229.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2017,266.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2016,323.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2015,322.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2014,324.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,Española,2013,339.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2023,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2022,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2021,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2020,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2019,39.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2018,26.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2017,35.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2016,26.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2015,44.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2014,52.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE28 sin España,2013,36.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2023,23.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2022,24.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2021,26.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2020,23.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2019,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2018,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2017,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2016,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2015,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2014,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de la UE27_2020 sin España,2013,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2023,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2022,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2021,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2020,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2019,3.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2018,5.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2017,5.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2016,3.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2015,3.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2014,4.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE28,2013,6.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2023,7.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2022,4.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2021,2.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2020,12.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2019,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2018,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2017,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2016,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2015,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2014,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,País de Europa menos UE27_2020,2013,
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2023,40.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2022,42.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2021,39.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2020,45.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2019,26.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2018,29.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2017,17.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2016,32.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2015,40.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2014,39.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Africa,2013,52.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2023,45.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2022,41.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2021,42.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2020,43.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2019,42.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2018,36.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2017,32.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2016,37.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2015,44.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2014,61.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De América,2013,67.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2023,6.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2022,4.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2021,4.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2020,4.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2019,5.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2018,4.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2017,9.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2016,9.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2015,10.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2014,11.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Asia,2013,12.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2023,0.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2022,0.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2021,0.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2020,0.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2019,0.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2018,0.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2017,0.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2016,0.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2015,0.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2014,1.0
A Delitos,1 Homicidio y sus formas,1.1 Homicidio,,De Oceanía,2013,1.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2023,211.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2022,193.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2021,184.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2020,219.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2019,205.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2018,170.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2017,200.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2016,202.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2015,264.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2014,244.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Total,2013,297.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2023,134.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2022,145.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2021,127.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2020,158.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2019,161.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2018,126.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2017,135.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2016,158.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2015,203.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2014,184.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,Española,2013,203.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2023,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2022,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2021,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2020,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2019,14.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2018,11.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2017,24.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2016,13.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2015,21.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2014,17.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE28 sin España,2013,31.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2023,21.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2022,16.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2021,9.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2020,18.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2019,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2018,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2017,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2016,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2015,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2014,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de la UE27_2020 sin España,2013,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2023,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2022,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2021,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2020,
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2019,2.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2018,0.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2017,3.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2016,2.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2015,0.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2014,2.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE28,2013,3.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE27_2020,2023,8.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE27_2020,2022,5.0
A Delitos,1 Homicidio y sus formas,1.2 Asesinato,,País de Europa menos UE27_2020,2021,5.0
