Sexo,Edad,Nacionalidad,Periodo,Total
Ambos sexos,De 16 a 24 años,Total,2008,"2.431,3"
Ambos sexos,De 16 a 24 años,Total,2007,"2.458,5"
Ambos sexos,De 16 a 24 años,Total,2006,"2.486,6"
Ambos sexos,De 16 a 24 años,Española,2024,"1.389,7"
Ambos sexos,De 16 a 24 años,Española,2023,"1.323,8"
Ambos sexos,De 16 a 24 años,Española,2022,1.260
Ambos sexos,De 16 a 24 años,Española,2021,"1.197,6"
Ambos sexos,De 16 a 24 años,Española,2020,"1.114,4"
Ambos sexos,De 16 a 24 años,Española,2019,"1.215,2"
Ambos sexos,De 16 a 24 años,Española,2018,"1.184,3"
Ambos sexos,De 16 a 24 años,Española,2017,"1.201,9"
Ambos sexos,De 16 a 24 años,Española,2016,"1.189,9"
Ambos sexos,De 16 a 24 años,Española,2015,1.252
Ambos sexos,De 16 a 24 años,Española,2014,"1.304,9"
Ambos sexos,De 16 a 24 años,Española,2013,"1.383,9"
Ambos sexos,De 16 a 24 años,Española,2012,"1.443,9"
Ambos sexos,De 16 a 24 años,Española,2011,"1.536,6"
Ambos sexos,De 16 a 24 años,Española,2010,"1.650,7"
Ambos sexos,De 16 a 24 años,Española,2009,"1.776,3"
Ambos sexos,De 16 a 24 años,Española,2008,"1.946,4"
Ambos sexos,De 16 a 24 años,Española,2007,"2.020,5"
Ambos sexos,De 16 a 24 años,Española,2006,"2.083,6"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2024,"107,2"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2023,"86,1"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2022,"78,2"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2021,"75,5"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2020,"75,5"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2019,"73,1"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2018,"65,9"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2017,"62,6"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2016,62
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2015,"64,2"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2014,"45,7"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2013,"45,2"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2012,"39,4"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2011,"35,6"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2010,"34,9"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2009,"28,8"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2008,"25,6"
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2007,22
Ambos sexos,De 16 a 24 años,Doble nacionalidad,2006,"18,3"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2024,"287,9"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2023,"286,7"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2022,"273,2"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2021,"240,3"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2020,"241,7"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2019,"251,1"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2018,"256,5"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2017,"234,8"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2016,"224,5"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2015,"237,4"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2014,"248,8"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2013,"285,4"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2012,"325,6"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2011,"363,7"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2010,"382,9"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2009,"438,7"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2008,"459,3"
Ambos sexos,De 16 a 24 años,Extranjera: Total,2007,416
Ambos sexos,De 16 a 24 años,Extranjera: Total,2006,"384,7"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2024,"57,8"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2023,"59,1"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2022,"59,9"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2021,"57,8"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2020,"64,6"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2019,"73,6"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2018,"82,1"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2017,"78,2"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2016,"69,3"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2015,"72,4"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2014,"78,3"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2013,"82,7"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2012,"80,7"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2011,"101,1"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2010,"112,4"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2009,"136,5"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2008,139
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2007,"132,7"
Ambos sexos,De 16 a 24 años,Extranjera: Unión Europea,2006,"31,6"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2024,"15,4"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2023,"17,8"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2022,"15,6"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2021,"9,8"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2020,"13,4"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2019,"9,9"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2018,"11,3"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2017,"10,3"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2016,10
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2015,"10,1"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2014,"8,4"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2013,"9,5"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2012,"12,4"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2011,"16,7"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2010,"13,3"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2009,"10,5"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2008,"13,7"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2007,"11,8"
Ambos sexos,De 16 a 24 años,Extranjera: Resto de Europa,2006,"95,5"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2024,"140,2"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2023,"129,6"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2022,"119,6"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2021,106
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2020,"95,5"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2019,"87,2"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2018,"90,7"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2017,"88,4"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2016,"82,2"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2015,"77,8"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2014,"83,3"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2013,"106,6"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2012,"136,4"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2011,"153,9"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2010,"175,5"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2009,"194,4"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2008,"209,3"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2007,"194,4"
Ambos sexos,De 16 a 24 años,Extranjera: América Latina,2006,"176,7"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2024,"74,4"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2023,"80,3"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2022,"78,1"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2021,"66,7"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2020,"68,3"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2019,"80,5"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2018,"72,5"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2017,"57,9"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2016,63
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2015,"77,1"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2014,"78,8"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2013,"86,6"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2012,"96,1"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2011,"92,1"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2010,"81,7"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2009,"97,3"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2008,"97,3"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2007,"77,1"
Ambos sexos,De 16 a 24 años,Extranjera: Resto del mundo y apátrida,2006,"80,9"
Ambos sexos,De 25 a 34 años,Total,2024,"4.714,4"
Ambos sexos,De 25 a 34 años,Total,2023,"4.685,5"
Ambos sexos,De 25 a 34 años,Total,2022,"4.549,6"
Ambos sexos,De 25 a 34 años,Total,2021,"4.518,6"
Ambos sexos,De 25 a 34 años,Total,2020,"4.447,5"
Ambos sexos,De 25 a 34 años,Total,2019,"4.561,7"
Ambos sexos,De 25 a 34 años,Total,2018,"4.593,3"
Ambos sexos,De 25 a 34 años,Total,2017,"4.668,6"
Ambos sexos,De 25 a 34 años,Total,2016,"4.844,7"
Ambos sexos,De 25 a 34 años,Total,2015,"5.094,4"
Ambos sexos,De 25 a 34 años,Total,2014,"5.361,3"
Ambos sexos,De 25 a 34 años,Total,2013,"5.661,8"
Ambos sexos,De 25 a 34 años,Total,2012,"5.983,2"
Ambos sexos,De 25 a 34 años,Total,2011,6.245
Ambos sexos,De 25 a 34 años,Total,2010,"6.486,8"
Ambos sexos,De 25 a 34 años,Total,2009,"6.655,3"
Ambos sexos,De 25 a 34 años,Total,2008,"6.771,4"
Ambos sexos,De 25 a 34 años,Total,2007,"6.695,1"
Ambos sexos,De 25 a 34 años,Total,2006,"6.583,2"
Ambos sexos,De 25 a 34 años,Española,2024,3.419
Ambos sexos,De 25 a 34 años,Española,2023,"3.540,2"
Ambos sexos,De 25 a 34 años,Española,2022,"3.533,5"
Ambos sexos,De 25 a 34 años,Española,2021,"3.567,5"
Ambos sexos,De 25 a 34 años,Española,2020,"3.484,5"
Ambos sexos,De 25 a 34 años,Española,2019,"3.648,8"
Ambos sexos,De 25 a 34 años,Española,2018,3.739
Ambos sexos,De 25 a 34 años,Española,2017,"3.817,3"
Ambos sexos,De 25 a 34 años,Española,2016,"3.947,4"
Ambos sexos,De 25 a 34 años,Española,2015,4.172
Ambos sexos,De 25 a 34 años,Española,2014,"4.381,8"
Ambos sexos,De 25 a 34 años,Española,2013,"4.614,7"
Ambos sexos,De 25 a 34 años,Española,2012,"4.788,3"
Ambos sexos,De 25 a 34 años,Española,2011,"4.914,4"
Ambos sexos,De 25 a 34 años,Española,2010,"5.087,7"
Ambos sexos,De 25 a 34 años,Española,2009,"5.253,2"
Ambos sexos,De 25 a 34 años,Española,2008,"5.340,5"
Ambos sexos,De 25 a 34 años,Española,2007,"5.364,2"
Ambos sexos,De 25 a 34 años,Española,2006,"5.440,9"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2024,275
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2023,"242,7"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2022,"227,8"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2021,"181,1"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2020,"171,4"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2019,"145,8"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2018,133
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2017,"122,8"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2016,"128,3"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2015,119
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2014,"114,7"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2013,"98,2"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2012,"92,2"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2011,92
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2010,"82,7"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2009,"67,3"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2008,"59,7"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2007,"51,5"
Ambos sexos,De 25 a 34 años,Doble nacionalidad,2006,47
Ambos sexos,De 25 a 34 años,Extranjera: Total,2024,"1.020,4"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2023,"902,6"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2022,"788,2"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2021,770
Ambos sexos,De 25 a 34 años,Extranjera: Total,2020,"791,7"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2019,"767,1"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2018,"721,3"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2017,"728,6"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2016,"768,9"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2015,"803,5"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2014,"864,9"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2013,"948,9"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2012,"1.102,8"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2011,"1.238,6"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2010,"1.316,4"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2009,"1.334,9"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2008,"1.371,2"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2007,"1.279,4"
Ambos sexos,De 25 a 34 años,Extranjera: Total,2006,"1.095,3"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2024,"201,5"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2023,184
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2022,184
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2021,"192,9"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2020,"233,8"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2019,"274,9"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2018,"259,4"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2017,"262,3"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2016,"270,2"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2015,"274,2"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2014,312
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2013,"291,3"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2012,"343,3"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2011,"369,1"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2010,"383,1"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2009,"380,8"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2008,377
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2007,"351,5"
Ambos sexos,De 25 a 34 años,Extranjera: Unión Europea,2006,"101,9"
Ambos sexos,De 25 a 34 años,Extranjera: Resto de Europa,2024,"64,7"
Ambos sexos,De 25 a 34 años,Extranjera: Resto de Europa,2023,"49,2"
Ambos sexos,De 25 a 34 años,Extranjera: Resto de Europa,2022,"37,7"
Ambos sexos,De 25 a 34 años,Extranjera: Resto de Europa,2021,"44,2"
Ambos sexos,De 25 a 34 años,Extranjera: Resto de Europa,2020,"47,8"
