País de Nacimiento,Español/Extranjero,Sexo,Año,Total
TOTAL POBLACIÓN,TOTAL,Mujeres,2007,22.860.775
TOTAL POBLACIÓN,TOTAL,Mujeres,2006,22.608.498
TOTAL POBLACIÓN,TOTAL,Mujeres,2005,22.327.661
TOTAL POBLACIÓN,TOTAL,Mujeres,2004,21.912.437
TOTAL POBLACIÓN,TOTAL,Mujeres,2003,21.682.738
TOTAL POBLACIÓN,TOTAL,Mujeres,2002,21.273.805
TOTAL POBLACIÓN,TOTAL,Mujeres,2001,20.951.328
TOTAL POBLACIÓN,TOTAL,Mujeres,2000,20.678.407
TOTAL POBLACIÓN,TOTAL,Mujeres,1999,20.531.518
TOTAL POBLACIÓN,TOTAL,Mujeres,1998,20.364.186
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2022,41.932.488
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2021,41.944.959
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2020,42.016.642
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2019,41.989.330
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2018,41.988.289
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2017,41.999.325
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2016,41.938.427
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2015,41.894.738
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2014,41.747.854
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2013,41.583.545
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2012,41.529.063
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2011,41.439.006
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2010,41.273.297
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2009,41.097.136
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2008,40.889.060
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2007,40.681.183
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2006,40.564.798
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2005,40.377.920
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2004,40.163.358
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2003,40.052.896
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2002,39.859.948
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2001,39.746.185
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,2000,39.575.911
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,1999,39.453.204
TOTAL POBLACIÓN,Nacionalidad Española,Ambos sexos,1998,39.215.566
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2022,20.487.167
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2021,20.497.801
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2020,20.535.713
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2019,20.522.283
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2018,20.522.724
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2017,20.527.756
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2016,20.502.104
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2015,20.480.756
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2014,20.415.429
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2013,20.341.666
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2012,20.322.848
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2011,20.284.480
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2010,20.208.250
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2009,20.124.352
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2008,20.045.064
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2007,19.944.277
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2006,19.884.997
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2005,19.788.835
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2004,19.679.524
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2003,19.619.576
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2002,19.515.911
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2001,19.448.676
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,2000,19.349.918
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,1999,19.291.305
TOTAL POBLACIÓN,Nacionalidad Española,Hombres,1998,19.166.204
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2022,21.445.321
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2021,21.447.158
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2020,21.480.929
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2019,21.467.047
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2018,21.465.565
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2017,21.471.569
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2016,21.436.323
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2015,21.413.982
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2014,21.332.425
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2013,21.241.879
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2012,21.206.215
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2011,21.154.526
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2010,21.065.047
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2009,20.972.784
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2008,20.843.996
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2007,20.736.906
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2006,20.679.801
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2005,20.589.085
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2004,20.483.834
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2003,20.433.320
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2002,20.344.038
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2001,20.297.508
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,2000,20.225.993
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,1999,20.161.898
TOTAL POBLACIÓN,Nacionalidad Española,Mujeres,1998,20.049.362
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2022,5.542.932
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2021,5.440.148
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2020,5.434.153
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2019,5.036.878
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2018,4.734.691
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2017,4.572.807
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2016,4.618.581
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2015,4.729.644
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2014,5.023.487
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2013,5.546.238
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2012,5.736.258
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2011,5.751.487
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2010,5.747.734
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2009,5.648.671
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2008,5.268.762
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2007,4.519.554
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2006,4.144.166
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2005,3.730.610
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2004,3.034.326
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2003,2.664.168
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2002,1.977.946
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2001,1.370.657
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,2000,923.879
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,1999,748.954
TOTAL POBLACIÓN,Nacionalidad Extranjera,Ambos sexos,1998,637.085
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2022,2.778.214
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2021,2.725.152
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2020,2.719.877
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2019,2.520.145
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2018,2.373.878
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2017,2.305.105
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2016,2.341.506
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2015,2.409.627
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2014,2.570.247
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2013,2.854.720
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2012,2.975.508
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2011,2.998.707
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2010,3.017.935
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2009,2.992.636
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2008,2.802.673
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2007,2.395.685
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2006,2.215.469
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2005,1.992.034
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2004,1.605.723
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2003,1.414.750
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2002,1.048.178
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2001,716.837
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,2000,471.465
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,1999,379.336
TOTAL POBLACIÓN,Nacionalidad Extranjera,Hombres,1998,322.261
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2022,2.764.718
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2021,2.714.996
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2020,2.714.276
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2019,2.516.733
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2018,2.360.813
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2017,2.267.702
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2016,2.277.075
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2015,2.320.017
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2014,2.453.240
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2013,2.691.518
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2012,2.760.750
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2011,2.752.780
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2010,2.729.799
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2009,2.656.035
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2008,2.466.089
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2007,2.123.869
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2006,1.928.697
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2005,1.738.576
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2004,1.428.603
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2003,1.249.418
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2002,929.767
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2001,653.820
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,2000,452.413
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,1999,369.619
TOTAL POBLACIÓN,Nacionalidad Extranjera,Mujeres,1998,314.824
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2022,39.940.907
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2021,40.062.699
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2020,40.219.600
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2019,40.273.110
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2018,40.336.076
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2017,40.391.790
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2016,40.433.239
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2015,40.461.450
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2014,40.487.629
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2013,40.489.247
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2012,40.505.541
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2011,40.512.654
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2010,40.416.850
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2009,40.279.529
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2008,40.113.294
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2007,39.950.744
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2006,39.871.342
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2005,39.717.046
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2004,39.503.878
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2003,39.414.624
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2002,39.243.842
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2001,39.147.573
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,2000,39.027.333
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,1999,38.943.106
NACIDOS EN ESPAÑA,TOTAL,Ambos sexos,1998,38.678.884
NACIDOS EN ESPAÑA,TOTAL,Hombres,2022,19.616.969
NACIDOS EN ESPAÑA,TOTAL,Hombres,2021,19.677.576
NACIDOS EN ESPAÑA,TOTAL,Hombres,2020,19.752.971
NACIDOS EN ESPAÑA,TOTAL,Hombres,2019,19.775.734
NACIDOS EN ESPAÑA,TOTAL,Hombres,2018,19.804.474
NACIDOS EN ESPAÑA,TOTAL,Hombres,2017,19.829.043
NACIDOS EN ESPAÑA,TOTAL,Hombres,2016,19.848.342
NACIDOS EN ESPAÑA,TOTAL,Hombres,2015,19.858.672
NACIDOS EN ESPAÑA,TOTAL,Hombres,2014,19.868.935
NACIDOS EN ESPAÑA,TOTAL,Hombres,2013,19.868.658
NACIDOS EN ESPAÑA,TOTAL,Hombres,2012,19.878.469
NACIDOS EN ESPAÑA,TOTAL,Hombres,2011,19.879.356
NACIDOS EN ESPAÑA,TOTAL,Hombres,2010,19.830.749
NACIDOS EN ESPAÑA,TOTAL,Hombres,2009,19.760.004
NACIDOS EN ESPAÑA,TOTAL,Hombres,2008,19.695.631
NACIDOS EN ESPAÑA,TOTAL,Hombres,2007,19.612.104
NACIDOS EN ESPAÑA,TOTAL,Hombres,2006,19.567.710
NACIDOS EN ESPAÑA,TOTAL,Hombres,2005,19.484.817
NACIDOS EN ESPAÑA,TOTAL,Hombres,2004,19.373.662
NACIDOS EN ESPAÑA,TOTAL,Hombres,2003,19.322.413
NACIDOS EN ESPAÑA,TOTAL,Hombres,2002,19.228.646
NACIDOS EN ESPAÑA,TOTAL,Hombres,2001,19.169.692
NACIDOS EN ESPAÑA,TOTAL,Hombres,2000,19.095.065
NACIDOS EN ESPAÑA,TOTAL,Hombres,1999,19.054.539
NACIDOS EN ESPAÑA,TOTAL,Hombres,1998,18.915.924
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2022,20.323.938
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2021,20.385.123
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2020,20.466.629
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2019,20.497.376
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2018,20.531.602
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2017,20.562.747
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2016,20.584.897
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2015,20.602.778
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2014,20.618.694
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2013,20.620.589
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2012,20.627.072
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2011,20.633.298
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2010,20.586.101
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2009,20.519.525
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2008,20.417.663
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2007,20.338.640
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2006,20.303.632
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2005,20.232.229
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2004,20.130.216
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2003,20.092.211
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2002,20.015.196
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2001,19.977.881
NACIDOS EN ESPAÑA,TOTAL,Mujeres,2000,19.932.268
NACIDOS EN ESPAÑA,TOTAL,Mujeres,1999,19.888.567
NACIDOS EN ESPAÑA,TOTAL,Mujeres,1998,19.762.959
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2022,39.416.651
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2021,39.536.465
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2020,39.698.859
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2019,39.768.021
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2018,39.850.520
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2017,39.922.460
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2016,39.964.731
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2015,39.998.632
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2014,40.017.531
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2013,40.019.665
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2012,40.064.246
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2011,40.105.840
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2010,40.052.458
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2009,39.965.339
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2008,39.851.397
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2007,39.738.965
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2006,39.683.051
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2005,39.550.633
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2004,39.376.500
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2003,39.303.823
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2002,39.155.912
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2001,39.075.049
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,2000,38.935.078
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,1999,38.858.800
NACIDOS EN ESPAÑA,Nacionalidad Española,Ambos sexos,1998,38.621.993
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2022,19.348.146
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2021,19.407.798
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2020,19.485.938
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2019,19.516.820
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2018,19.555.283
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2017,19.587.801
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2016,19.607.357
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2015,19.620.539
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2014,19.627.413
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2013,19.627.085
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2012,19.651.123
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2011,19.669.742
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2010,19.642.854
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2009,19.598.268
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2008,19.560.387
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2007,19.502.633
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2006,19.470.508
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2005,19.398.905
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2004,19.307.897
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2003,19.265.340
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2002,19.183.436
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2001,19.132.451
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,2000,19.048.226
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,1999,19.012.165
NACIDOS EN ESPAÑA,Nacionalidad Española,Hombres,1998,18.886.969
NACIDOS EN ESPAÑA,Nacionalidad Española,Mujeres,2022,20.068.505
NACIDOS EN ESPAÑA,Nacionalidad Española,Mujeres,2021,20.128.667
NACIDOS EN ESPAÑA,Nacionalidad Española,Mujeres,2020,20.212.921
NACIDOS EN ESPAÑA,Nacionalidad Española,Mujeres,2019,20.251.201
NACIDOS EN ESPAÑA,Nacionalidad Española,Mujeres,2018,20.295.237
NACIDOS EN ESPAÑA,Nacionalidad Española,Mujeres,2017,20.334.659
NACIDOS EN ESPAÑA,Nacionalidad Española,Mujeres,2016,20.357.374
